DATASET_HEATMAP
#In heatmaps, each ID is associated to multiple numeric values, which are displayed as a set of colored boxes defined by a color gradient
#lines starting with a hash are comments and ignored during parsing
#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file (except in the SEPARATOR line, which uses space).
SEPARATOR TAB
#SEPARATOR SPACE
#SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL	Xylose_growth_rate
kazachstania_viticola	X
kazachstania_yakushimaensis	X
kloeckera_hatyaiensis	X
kluyveromyces_aestuarii	X
kluyveromyces_dobzhanskii	X
kluyveromyces_lactis	X
kluyveromyces_marxianus	X
kodamaea_laetipori	0.364211383
kodamaea_ohmeri	X
komagataella_pastoris	0.166347026
komagataella_populi	X
komagataella_pseudopastoris	X
kregervanrija_delftensis	X
kregervanrija_fluxuum	X
kuraishia_capsulata	0.217562796
kuraishia_molischiana	0.25353123
kuraishia_ogatae	0.250078689
kurtzmaniella_cleridarum	0.176953225
lachancea_cidri	X
lachancea_dasiensis	X
lachancea_fantastica	X
lachancea_fermentati	X
lachancea_kluyveri	X
lachancea_lanzarotensis	X
lachancea_meyersii	X
lachancea_mirantina	X
lachancea_nothofagi	X
lachancea_quebecensis	X
lachancea_thermotolerans	X
lachancea_waltii	X
lipomyces_arxii	1.144972613
lipomyces_doorenjongii	X
lipomyces_japonicus	1.202911662
lipomyces_kononenkoae	X
lipomyces_lipofer	X
lipomyces_mesembrius	X
lipomyces_oligophaga	X
lipomyces_starkeyi	1.046347267
lipomyces_suomiensis	X
lodderomyces_elongisporus	X
magnusiomyces_tetrasperma	X
martiniozyma_abiesophila	X
metschnikowia_aberdeeniae	0.519784198
metschnikowia_arizonensis	X
metschnikowia_bicuspidata	X
metschnikowia_borealis	0.701329033
metschnikowia_bowlesiae	X
metschnikowia_cerradonensis	0.732856565
metschnikowia_continentalis	0.394420359
metschnikowia_dekortum	X
metschnikowia_drakensbergensis	X
metschnikowia_hamakuensis	0.324586223
metschnikowia_hawaiiensis	0.441732364
metschnikowia_hibisci	0.431284169
metschnikowia_ipomoeae	X
metschnikowia_kamakouana	X
metschnikowia_kipukae	X
metschnikowia_lockheadii	0.710995601
metschnikowia_matae	1.077972967
metschnikowia_matae_maris	0.392960435
metschnikowia_mauinuiana	X
metschnikowia_proteae	X
metschnikowia_santaceciliae	X
metschnikowia_shivogae	0.282336899
metschnikowia_similis	0.227538067
meyerozyma_caribbica	0.369100472
meyerozyma_guilliermondii	X
middelhovenomyces_tepae	1.300924713
millerozyma_acaciae	0.070625666
nadsonia_fulvescens	X
nakaseomyces_bacillisporus	X
nakaseomyces_bracarensis	X
nakaseomyces_castellii	X
nakaseomyces_delphensis	X
nakaseomyces_nivariensis	X
nakazawaea_holstii	X
nakazawaea_peltata	0.457573847
naumovozyma_castellii	X
naumovozyma_dairenensis	X
ogataea_glucozyma	X
ogataea_henricii	X
ogataea_kodamae	X
ogataea_methanolica	0.112284546
ogataea_methylivora	0.49543014
ogataea_minuta	X
ogataea_naganishii	0.406096817
ogataea_nitratoaversa	0.528883368
ogataea_nonfermentans	X
ogataea_parapolymorpha	X
ogataea_philodendra	X
ogataea_pilisensis	X
ogataea_pini	X
ogataea_polymorpha	X
ogataea_populiabae	X
ogataea_ramenticola	0.420175779
ogataea_trehaloabstinens	2.146021726
ogataea_trehalophila	0.055391381
ogataea_zsoltii	0.338411329
pachysolen_tannophilus	0.313437257
peterozyma_toletana	0.195277046
peterozyma_xylosa	X
phaffomyces_antillensis	X
phaffomyces_opuntiae	X
phaffomyces_thermotolerans	X
pichia_exigua	X
pichia_heedii	0.522594544
pichia_kudriavzevii	X
pichia_membranifaciens	X
pichia_nakasei	X
pichia_norvegensis	X
pichia_occidentalis	X
pichia_terricola	X
priceomyces_carsonii	0.306334006
priceomyces_castillae	0.339677301
priceomyces_haplophilus	0.234133802
priceomyces_medius	0.95994681
saccharomyces_arboricola	X
saccharomyces_cerevisiae	X
saccharomyces_eubayanus	X
saccharomyces_kudriavzevii	X
saccharomyces_mikatae	X
saccharomyces_paradoxus	X
saccharomyces_uvarum	X
saccharomycopsis_capsularis	X
saccharomycopsis_malanga	X
saprochaete_clavata	X
saturnispora_dispora	X
saturnispora_hagleri	X
saturnispora_mendoncae	X
saturnispora_saitoi	X
saturnispora_serradocipensis	X
saturnispora_silvae	X
saturnispora_zaruensis	X
scheffersomyces_lignosus	0.481634779
scheffersomyces_stipitis	0.712437802
spathaspora_arborariae	0.461539829
spathaspora_girioi	X
spathaspora_gorwiae	X
spathaspora_hagerdaliae	X
spathaspora_passalidarum	0.58107421
spencermartinsiella_europaea	X
sporopachydermia_lactativora	X
sporopachydermia_quercuum	0.925854645
starmera_amethionina	X
starmera_quercuum	X
starmerella_bombicola	X
sugiyamaella_lignohabitans	0.697917242
tetrapisispora_blattae	X
tetrapisispora_fleetii	X
tetrapisispora_iriomotensis	X
tetrapisispora_namnaonensis	X
tetrapisispora_phaffii	X
tortispora_caseinolytica	1.51032555
tortispora_ganteri	X
tortispora_starmeri	X
torulaspora_delbrueckii	X
torulaspora_franciscae	X
torulaspora_maleeae	X
torulaspora_microellipsoides	X
torulaspora_pretoriensis	X
trigonopsis_variabilis	X
trigonopsis_vinaria	X
vanderwaltozyma_polyspora	X
wickerhamia_fluorescens	X
wickerhamiella_cacticola	X
wickerhamiella_domercqiae	X
wickerhamiella_infanticola	X
wickerhamomyces_alni	0.598666945
wickerhamomyces_anomalus	X
wickerhamomyces_bovis	0.204896106
wickerhamomyces_canadensis	0.265695786
wickerhamomyces_ciferrii	X
wickerhamomyces_hampshirensis	0.216538714
yamadazyma_nakazawae	0.330661156
yamadazyma_philogaea	0.620596812
yamadazyma_scolyti	1.032050583
yarrowia_bubula	X
yarrowia_deformans	X
yarrowia_divulgata	X
yarrowia_keelungensis	X
yarrowia_lipolytica	X
yueomyces_sinensis	X
zygoascus_meyerae	X
zygoascus_ofunaensis	0.498346357
zygosaccharomyces_bailii	X
zygosaccharomyces_bisporus	X
zygosaccharomyces_kombuchaensis	X
zygosaccharomyces_rouxii	X
zygotorulaspora_florentina	X
zygotorulaspora_mrakii	X
