all_taxa	xyl1	xyl2	xyl3	tkl1	tal1
ogataea trehalophila	1	1	1	1	1
candida arabinofermentans	1	1	1	1	1
ogataea pilisensis	1	1	1	1	1
ogataea nitratoaversa	1	1	1	1	1
ogataea zsoltii	1	1	1	1	1
ogataea pini	1	1	1	1	1
ogataea henricii	1	1	1	1	1
blastobotrys proliferans	1	1	1	1	1
ogataea glucozyma	1	1	1	1	1
ogataea kodamae	1	1	1	1	1
ogataea minuta	1	1	1	1	1
ogataea nonfermentans	1	1	1	1	1
ogataea philodendra	1	1	1	1	1
ogataea parapolymorpha	1	0	1	1	1
ogataea polymorpha	1	0	1	1	1
ambrosiozyma pseudovanderkliftii	1	1	1	1	1
ambrosiozyma philentoma	1	1	1	1	1
deakozyma indianensis	1	1	1	1	1
ambrosiozyma oregonensis	1	1	1	1	1
ambrosiozyma vanderkliftii	1	1	1	1	1
ambrosiozyma ambrosiae	1	1	1	1	1
ambrosiozyma maleeae	1	1	1	1	1
hanseniaspora singularis	1	0	0	1	1
candida incommunis	1	1	1	1	1
lipomyces oligophaga	1	1	1	1	1
hanseniaspora valbyensis	1	0	0	1	1
kloeckera hatyaiensis	1	0	0	1	1
hanseniaspora pseudoguilliermondii	1	0	0	1	1
hanseniaspora uvarum	1	0	0	1	1
hanseniaspora clermontiae	1	0	0	1	1
pichia kudriavzevii	1	1	1	1	1
pichia terricola	1	1	1	1	1
pichia occidentalis	1	1	1	1	1
middelhovenomyces tepae	1	1	1	1	1
pichia exigua	1	1	1	1	1
pichia norvegensis	1	1	1	1	1
martiniozyma abiesophila	1	1	1	1	1
saturnispora saitoi	1	1	1	1	1
saturnispora zaruensis	1	1	1	1	1
saturnispora dispora	1	1	1	1	1
saturnispora serradocipensis	1	1	1	1	1
saturnispora hagleri	1	1	1	1	1
geotrichum candidum	1	1	1	1	1
saturnispora silvae	1	1	0	1	1
saturnispora mendoncae	1	1	1	1	1
priceomyces carsonii	1	1	1	1	1
brettanomyces custersianus	1	1	1	1	1
brettanomyces anomalus	1	1	1	1	1
dekkera bruxellensis	1	1	1	1	1
kuraishia ogatae	1	1	1	1	1
dipodascus albidus	1	1	1	1	1
kuraishia capsulata	1	1	1	1	1
kuraishia molischiana	1	0	1	1	1
komagataella pastoris	1	1	1	1	1
komagataella populi	1	1	1	1	1
dipodascus geniculatus	1	1	1	1	1
komagataella pseudopastoris	1	1	1	1	1
citeromyces hawaiiensis	1	1	1	1	1
citeromyces matritensis	1	1	1	1	1
citeromyces siamensis	1	1	1	1	1
pachysolen tannophilus	1	1	1	1	1
peterozyma toletana	1	1	1	1	1
peterozyma xylosa	1	1	1	1	1
blastobotrys mokoenaii	1	1	1	1	1
nakazawaea holstii	1	1	1	1	1
ascoidea rubescens	1	1	1	1	1
candida ponderosae	1	1	1	1	1
candida stellimalicola	1	1	1	1	1
starmera amethionina	1	1	1	1	1
starmera quercuum	1	1	1	1	1
wickerhamomyces anomalus	1	1	1	1	1
wickerhamomyces ciferrii	1	1	1	1	1
wickerhamomyces alni	1	1	1	1	1
blastobotrys serpentis	1	1	1	1	1
candida azyma	1	1	1	1	1
wickerhamomyces canadensis	1	1	1	1	1
wickerhamomyces bovis	1	1	1	1	1
candida montana	1	1	1	1	1
phaffomyces thermotolerans	1	1	1	1	1
candida orba	1	1	1	1	1
phaffomyces antillensis	1	0	1	1	1
phaffomyces opuntiae	1	1	1	1	1
barnettozyma pratensis	1	1	1	1	1
barnettozyma salicaria	1	1	1	1	1
blastobotrys americana	1	1	1	1	1
barnettozyma californica	1	0	1	1	1
barnettozyma hawaiiensis	1	1	1	1	1
barnettozyma populi	1	1	1	1	1
candida freyschussii	1	1	1	1	1
cyberlindnera xylosilytica	1	1	1	1	1
candida mycetangii	1	1	1	1	1
cyberlindnera petersonii	1	1	1	1	1
cyberlindnera americana	1	1	1	1	1
cyberlindnera maclurae	1	1	1	1	1
blastobotrys peoriensis	1	1	1	1	1
cyberlindnera misumaiensis	1	0	1	1	1
cyberlindnera jadinii	1	0	1	1	1
candida vartiovaarae	1	0	1	1	1
cyberlindnera mrakii	1	1	1	1	1
cyberlindnera saturnus	1	0	1	1	1
cyberlindnera suaveolens	1	1	1	1	1
wickerhamomyces hampshirensis	1	1	1	1	1
arxula adeninivorans	1	1	1	1	1
blastobotrys raffinofermentans	1	1	1	1	1
lipomyces suomiensis	1	1	1	1	1
eremothecium cymbalariae	1	0	1	1	1
eremothecium coryli	1	0	0	1	1
ashbya aceri	1	0	1	1	1
eremothecium gossypii	1	1	1	1	1
kluyveromyces aestuarii	1	1	1	1	1
kluyveromyces marxianus	1	1	1	1	1
kluyveromyces lactis	1	1	1	1	1
kluyveromyces dobzhanskii	1	1	1	1	1
nakaseomyces castellii	1	0	1	1	1
sugiyamaella lignohabitans	1	1	1	1	1
nakaseomyces bacillisporus	1	0	1	1	1
hanseniaspora osmophila	1	0	1	1	1
hanseniaspora vinae	1	0	1	1	1
zygotorulaspora mrakii	1	1	1	1	1
zygotorulaspora florentina	1	1	1	1	1
torulaspora microellipsoides	1	0	1	1	1
torulaspora maleeae	1	1	1	1	1
zygosaccharomyces rouxii	1	1	1	1	1
zygosaccharomyces bailii	1	0	1	1	1
zygosaccharomyces bisporus	1	1	1	1	1
zygosaccharomyces kombuchaensis	1	0	1	1	1
torulaspora delbrueckii	1	1	1	1	1
torulaspora franciscae	1	1	1	1	1
torulaspora pretoriensis	1	0	1	1	1
lachancea fermentati	1	1	1	1	1
lachancea cidri	1	1	1	1	1
lachancea kluyveri	1	1	1	1	1
lachancea mirantina	1	0	1	1	1
lachancea waltii	1	0	1	1	1
candida salmanticensis	1	1	1	1	1
lachancea quebecensis	1	1	1	1	1
lachancea thermotolerans	1	1	1	1	1
lachancea dasiensis	1	1	1	1	1
lachancea nothofagi	1	1	1	1	1
lachancea meyersii	1	1	1	1	1
lachancea lanzarotensis	1	1	1	1	1
lachancea fantastica	1	1	1	1	1
candida glabrata	1	0	1	1	1
nakaseomyces bracarensis	1	0	1	1	1
nakaseomyces delphensis	1	0	1	1	1
diddensiella caesifluorescens	1	1	1	1	1
nakaseomyces nivariensis	1	0	1	1	1
kazachstania martiniae	1	0	1	1	1
kazachstania intestinalis	1	0	1	1	1
saccharomyces eubayanus	1	0	1	1	1
saccharomyces uvarum	1	0	1	1	1
saccharomyces kudriavzevii	1	0	1	1	1
saccharomyces mikatae	1	0	1	1	1
saccharomyces arboricola	1	0	1	1	1
saccharomyces paradoxus	1	0	1	1	1
kazachstania viticola	1	0	1	1	1
zygoascus ofunaensis	1	1	1	1	1
kazachstania africana	1	0	1	1	1
tetrapisispora iriomotensis	1	0	1	1	1
tetrapisispora phaffii	1	0	1	1	1
tetrapisispora namnaonensis	1	0	0	1	1
tetrapisispora fleetii	1	0	0	1	1
tetrapisispora blattae	1	0	0	1	1
yueomyces sinensis	1	0	0	1	1
zygoascus meyerae	1	1	1	1	1
kazachstania rosinii	1	0	1	1	1
kazachstania spencerorum	1	0	1	1	1
kazachstania turicensis	1	1	1	1	1
kazachstania kunashirensis	1	0	1	1	1
naumovozyma castellii	1	1	1	1	1
naumovozyma dairenensis	1	0	1	1	1
kazachstania naganishii	1	0	1	1	1
kazachstania yakushimaensis	1	0	1	1	1
kazachstania transvaalensis	1	0	1	1	1
kazachstania taianensis	1	0	1	1	1
kazachstania bromeliacearum	1	0	1	1	1
kazachstania siamensis	1	0	1	1	1
kazachstania unispora	1	0	1	1	1
kazachstania solicola	1	0	1	1	1
kazachstania aerobia	1	0	1	1	1
sporopachydermia lactativora	1	1	1	1	1
lipomyces japonicus	1	1	1	1	1
nadsonia fulvescens	1	1	1	1	1
lipomyces lipofer	1	1	1	1	1
candida emberorum	1	1	1	1	1
candida tanzawaensis	1	1	1	1	1
candida canberraensis	1	1	1	1	1
candida ascalaphidarum	1	1	1	1	1
candida tenuis	1	1	1	1	1
yamadazyma philogaea	1	1	1	1	1
yamadazyma nakazawae	1	1	1	1	1
yamadazyma scolyti	1	1	1	1	1
candida gorgasii	1	1	1	1	1
lipomyces doorenjongii	1	1	1	1	1
candida tammaniensis	1	1	1	1	1
candida gatunensis	1	1	1	1	1
candida cretensis	1	1	1	1	1
candida kruisii	1	1	1	1	1
candida pyralidae	1	1	1	1	1
candida auris	1	1	1	1	1
candida heveicola	1	0	1	1	1
lipomyces kononenkoae	1	1	1	1	1
debaryomyces maramus	1	1	1	1	1
debaryomyces nepalensis	1	1	1	1	1
debaryomyces hansenii	1	1	1	1	1
debaryomyces fabryi	1	1	1	1	1
debaryomyces prosopidis	1	1	1	1	1
debaryomyces subglobosus	1	1	1	1	1
priceomyces medius	1	1	1	1	1
priceomyces castillae	1	1	1	1	1
candida schatavii	1	1	1	1	1
kodamaea laetipori	1	1	1	1	1
aciculoconidium aculeatum	1	1	1	1	1
candida restingae	1	1	1	1	1
kodamaea ohmeri	1	1	1	1	1
danielozyma ontarioensis	1	1	1	1	1
cephaloascus fragrans	1	0	1	1	1
cephaloascus albidus	1	0	1	1	1
lipomyces starkeyi	1	1	1	1	1
scheffersomyces stipitis	1	1	1	1	1
babjeviella inositovora	1	0	1	1	1
candida fragi	1	1	1	1	1
kurtzmaniella cleridarum	1	1	1	0	1
candida corydali	1	1	1	1	1
candida orthopsilosis	1	1	1	1	1
candida parapsilosis	1	1	1	1	1
candida dubliniensis	1	1	1	1	1
lipomyces arxii	1	1	1	1	1
Saccharomyces cerevisiae	0	1	0	0	0
Saccharomyces paradoxus	0	1	0	0	0
Saccharomyces eubayanus	0	1	0	0	0
candida intermedia	0	1	0	1	0
candida sojae	0	1	1	1	0
ambrosiozyma monospora	0	1	0	1	0
candida succiphila	0	1	0	1	0
trigonopsis vinaria	0	1	1	1	1
saccharomycopsis malanga	0	1	0	1	0
candida hispaniensis	0	1	1	1	1
yarrowia bubula	0	1	1	1	1
yarrowia divulgata	0	1	1	1	1
saprochaete clavata	0	1	0	1	0
trigonopsis variabilis	0	1	1	1	1
scheffersomyces lignosus	0	1	0	1	0
alloascoidea hylecoeti	0	1	0	1	0
magnusiomyces tetrasperma	0	1	1	1	1
try augustus	0	1	0	0	0
cyberlindnera fabianii	0	1	0	1	0
eremothecium sinecaudum	0	1	1	1	1
ascoidea asiatica	0	1	0	1	0
lodderomyces elongisporus	0	1	1	1	1
metschnikowia aberdeeniae	0	1	1	1	1
metschnikowia arizonensis	0	1	1	1	1
metschnikowia cerradonensis	0	1	1	1	1
metschnikowia hamakuensis	0	1	1	1	1
metschnikowia hawaiiensis	0	1	1	1	1
metschnikowia lockheadii	0	1	1	1	1
metschnikowia matae	0	1	1	1	1
metschnikowia similis	0	1	1	1	1
millerozyma acaciae	0	1	0	1	0
sporopachydermia quercuum	0	1	0	1	0
vanderwaltozyma polyspora	0	1	1	1	1
wickerhamia fluorescens	0	1	0	1	0
yarrowia deformans	0	1	0	1	0
yarrowia keelungensis	0	1	0	1	0
yarrowia lipolytica	0	1	1	1	1
candida boidinii	0	1	0	1	0
ogataea methanolica	0	1	0	1	0
botryozyma nematodophila	0	1	1	1	1
priceomyces haplophilus	0	1	0	1	0
candida homilentoma	0	1	0	1	0
ambrosiozyma kashinagacola	0	1	0	1	0
candida apicola	0	0	1	1	1
wickerhamiella cacticola	0	0	1	1	1
candida infanticola	0	0	0	1	1
candida carpophila	0	0	0	1	0
candida sorboxylosa	0	0	0	1	0
candida versatilis	0	0	0	1	0
try maker	0	0	0	1	0
starmerella bombicola	0	0	0	1	0
nakazawaea peltata	0	0	0	1	0
wickerhamiella domercqiae	0	0	0	1	0
